<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.16,12:11:00,148.668,148.699,148.664,148.686,39,0,5
2024.08.16,12:12:00,148.687,148.705,148.678,148.702,36,0,5
2024.08.16,12:13:00,148.702,148.718,148.696,148.716,38,0,5
2024.08.16,12:14:00,148.714,148.714,148.674,148.674,36,0,5
2024.08.16,12:15:00,148.676,148.687,148.635,148.636,49,0,5
2024.08.16,12:16:00,148.636,148.638,148.603,148.633,50,0,5
2024.08.16,12:17:00,148.634,148.64,148.611,148.617,56,0,4
2024.08.16,12:18:00,148.612,148.622,148.596,148.62,66,0,5
2024.08.16,12:19:00,148.618,148.642,148.607,148.631,43,0,5
2024.08.16,12:20:00,148.63,148.655,148.629,148.641,39,0,5
2024.08.16,12:21:00,148.641,148.653,148.624,148.625,58,0,5
2024.08.16,12:22:00,148.625,148.651,148.623,148.642,31,0,5
2024.08.16,12:23:00,148.642,148.664,148.633,148.66,31,0,5
2024.08.16,12:24:00,148.659,148.662,148.642,148.65,33,0,5
2024.08.16,12:25:00,148.652,148.672,148.652,148.656,42,0,5
2024.08.16,12:26:00,148.656,148.68,148.656,148.666,33,0,5
2024.08.16,12:27:00,148.666,148.686,148.665,148.686,31,0,5
2024.08.16,12:28:00,148.686,148.689,148.664,148.669,39,0,5
2024.08.16,12:29:00,148.667,148.684,148.667,148.68,41,0,5
2024.08.16,12:30:00,148.68,148.68,148.65,148.656,41,0,5
2024.08.16,12:31:00,148.656,148.657,148.624,148.64,55,0,3
2024.08.16,12:32:00,148.64,148.646,148.606,148.62,51,0,5
2024.08.16,12:33:00,148.619,148.642,148.619,148.633,48,0,5
2024.08.16,12:34:00,148.634,148.666,148.625,148.654,61,0,5
2024.08.16,12:35:00,148.653,148.688,148.653,148.684,57,0,5
2024.08.16,12:36:00,148.684,148.686,148.665,148.666,50,0,5
2024.08.16,12:37:00,148.666,148.68,148.651,148.68,40,0,5
2024.08.16,12:38:00,148.679,148.691,148.662,148.662,44,0,5
2024.08.16,12:39:00,148.662,148.663,148.63,148.634,44,0,5
2024.08.16,12:40:00,148.633,148.681,148.633,148.662,58,0,5
2024.08.16,12:41:00,148.661,148.661,148.636,148.66,59,0,5
2024.08.16,12:42:00,148.659,148.667,148.646,148.646,46,0,5
